RESULTADOS DEL MODELO: NN Custom (simple_data)
======================================================================
Accuracy General: 0.6841

Matriz de Confusión:
1450 CANDIDATE (PC) 66.47%
1451 CANDIDATE (PC) 75.33%
1452 FALSE POSITIVE 56.32%
1453 CANDIDATE (PC) 49.33%
1454 FALSE POSITIVE 59.24%
1455 FALSE POSITIVE 56.72%
1456 CANDIDATE (PC) 45.26%
1457 CONFIRMED (CP) 40.50%
1458 FALSE POSITIVE 55.94%
1459 CONFIRMED (CP) 76.07%
1460 FALSE POSITIVE 97.00%
1461 FALSE POSITIVE 90.96%
1462 FALSE POSITIVE 46.45%
1463 CANDIDATE (PC) 44.85%
1464 CANDIDATE (PC) 48.94%
1465 CANDIDATE (PC) 40.58%
1466 CONFIRMED (CP) 93.43%
1467 CANDIDATE (PC) 76.29%
1468 CONFIRMED (CP) 87.83%
1469 CANDIDATE (PC) 65.84%
1470 CANDIDATE (PC) 54.44%
1471 CONFIRMED (CP) 49.18%
1472 CONFIRMED (CP) 43.61%
1473 CANDIDATE (PC) 66.53%
1474 CANDIDATE (PC) 70.79%
1475 CONFIRMED (CP) 88.60%
1476 CONFIRMED (CP) 71.55%
1477 FALSE POSITIVE 71.98%
1478 CANDIDATE (PC) 68.65%
1479 CONFIRMED (CP) 43.87%
1480 CANDIDATE (PC) 48.93%
1481 FALSE POSITIVE 74.97%
1482 CANDIDATE (PC) 76.96%
1483 CONFIRMED (CP) 92.51%
1484 CONFIRMED (CP) 85.99%
1485 CANDIDATE (PC) 71.56%
1486 CONFIRMED (CP) 90.59%
1487 CONFIRMED (CP) 67.98%
1488 CANDIDATE (PC) 49.24%
1489 CANDIDATE (PC) 78.66%
1490 CANDIDATE (PC) 48.75%
1491 FALSE POSITIVE 41.95%
1492 CANDIDATE (PC) 39.65%
1493 FALSE POSITIVE 82.30%
1494 FALSE POSITIVE 80.04%
1495 CANDIDATE (PC) 54.73%
1496 CANDIDATE (PC) 74.19%
1497 CANDIDATE (PC) 40.67%
1498 CONFIRMED (CP) 43.04%
1499 CANDIDATE (PC) 49.49%
1500 FALSE POSITIVE 40.82%
1501 FALSE POSITIVE 65.54%
1502 CONFIRMED (CP) 73.59%
1503 CANDIDATE (PC) 75.80%
1504 CANDIDATE (PC) 77.26%
1505 FALSE POSITIVE 53.28%
1506 CANDIDATE (PC) 54.47%
1507 CONFIRMED (CP) 71.70%
1508 CONFIRMED (CP) 73.37%
1509 FALSE POSITIVE 58.50%
1510 CANDIDATE (PC) 52.93%
1511 CANDIDATE (PC) 71.41%
1512 CANDIDATE (PC) 65.76%
1513 CANDIDATE (PC) 71.70%
1514 CANDIDATE (PC) 56.11%
1515 CANDIDATE (PC) 50.18%
1516 FALSE POSITIVE 38.61%
1517 CANDIDATE (PC) 67.12%
1518 CONFIRMED (CP) 92.27%
1519 FALSE POSITIVE 59.25%
1520 CANDIDATE (PC) 77.52%
1521 CONFIRMED (CP) 89.94%
1522 CANDIDATE (PC) 70.01%
1523 CONFIRMED (CP) 46.80%
1524 CONFIRMED (CP) 40.29%
1525 FALSE POSITIVE 49.45%
1526 FALSE POSITIVE 59.43%
1527 CANDIDATE (PC) 67.69%
1528 CANDIDATE (PC) 74.50%
1529 CONFIRMED (CP) 92.20%
1530 CANDIDATE (PC) 75.64%
1531 CONFIRMED (CP) 92.39%
1532 CANDIDATE (PC) 73.09%
1533 CANDIDATE (PC) 44.50%
1534 CANDIDATE (PC) 77.08%
1535 FALSE POSITIVE 85.68%
1536 CONFIRMED (CP) 92.70%
1537 FALSE POSITIVE 95.08%
1538 FALSE POSITIVE 60.14%
1539 CANDIDATE (PC) 45.94%
1540 FALSE POSITIVE 54.55%
1541 CANDIDATE (PC) 74.05%
1542 CANDIDATE (PC) 77.03%
1543 CANDIDATE (PC) 48.41%
1544 FALSE POSITIVE 55.22%
1545 CONFIRMED (CP) 69.91%
1546 CONFIRMED (CP) 46.33%
1547 CONFIRMED (CP) 49.13%
1548 CONFIRMED (CP) 89.58%
1549 CONFIRMED (CP) 61.26%
1550 CANDIDATE (PC) 46.18%
1551 CONFIRMED (CP) 36.85%
1552 CONFIRMED (CP) 45.08%
1553 CANDIDATE (PC) 76.00%
1554 FALSE POSITIVE 94.57%
1555 CANDIDATE (PC) 40.38%
1556 CANDIDATE (PC) 77.80%
1557 FALSE POSITIVE 87.65%
1558 CANDIDATE (PC) 77.01%
1559 CANDIDATE (PC) 47.10%
1560 CANDIDATE (PC) 60.43%
1561 CANDIDATE (PC) 50.38%
1562 FALSE POSITIVE 90.26%
1563 CONFIRMED (CP) 45.08%
1564 CONFIRMED (CP) 41.64%
1565 CANDIDATE (PC) 54.36%
1566 CANDIDATE (PC) 41.93%
1567 CANDIDATE (PC) 75.15%
1568 CANDIDATE (PC) 77.89%
1569 FALSE POSITIVE 80.10%
1570 CONFIRMED (CP) 73.38%
1571 CONFIRMED (CP) 73.67%
1572 CANDIDATE (PC) 58.16%
1573 CANDIDATE (PC) 55.05%
1574 CONFIRMED (CP) 35.56%
1575 FALSE POSITIVE 80.10%
1576 CONFIRMED (CP) 72.61%
1577 CONFIRMED (CP) 71.32%
1578 FALSE POSITIVE 55.11%
1579 FALSE POSITIVE 98.04%
1580 CANDIDATE (PC) 76.33%
1581 FALSE POSITIVE 65.76%
1582 CANDIDATE (PC) 71.61%
1583 CONFIRMED (CP) 42.10%
1584 CANDIDATE (PC) 73.69%
1585 CONFIRMED (CP) 41.28%
1586 FALSE POSITIVE 83.95%
1587 CANDIDATE (PC) 40.67%
1588 FALSE POSITIVE 59.05%
1589 CONFIRMED (CP) 69.75%
1590 FALSE POSITIVE 39.54%
1591 FALSE POSITIVE 40.72%
1592 FALSE POSITIVE 90.22%
1593 FALSE POSITIVE 93.80%
1594 CANDIDATE (PC) 66.83%
1595 FALSE POSITIVE 97.15%
1596 FALSE POSITIVE 94.04%
1597 CANDIDATE (PC) 45.28%
1598 FALSE POSITIVE 68.68%
1599 CANDIDATE (PC) 74.16%
1600 FALSE POSITIVE 37.07%
1601 FALSE POSITIVE 58.47%
1602 CANDIDATE (PC) 38.94%
1603 CANDIDATE (PC) 42.75%
1604 CONFIRMED (CP) 90.88%
1605 CONFIRMED (CP) 71.59%
1606 CONFIRMED (CP) 72.63%
1607 FALSE POSITIVE 92.06%
1608 CANDIDATE (PC) 48.56%
1609 CANDIDATE (PC) 54.50%
1610 FALSE POSITIVE 97.12%
1611 CANDIDATE (PC) 61.59%
1612 CANDIDATE (PC) 55.61%
1613 CANDIDATE (PC) 75.55%
1614 FALSE POSITIVE 84.48%
1615 CONFIRMED (CP) 92.06%
1616 FALSE POSITIVE 84.94%
1617 CANDIDATE (PC) 73.52%
1618 FALSE POSITIVE 43.34%
1619 CANDIDATE (PC) 78.23%
1620 FALSE POSITIVE 57.37%
1621 FALSE POSITIVE 53.13%
1622 CANDIDATE (PC) 79.12%
1623 CONFIRMED (CP) 92.76%
1624 CANDIDATE (PC) 75.41%
1625 CANDIDATE (PC) 54.57%
1626 FALSE POSITIVE 81.92%
1627 FALSE POSITIVE 65.88%
1628 CONFIRMED (CP) 74.58%
1629 CANDIDATE (PC) 72.17%
1630 CANDIDATE (PC) 74.80%
1631 CANDIDATE (PC) 77.06%
1632 CANDIDATE (PC) 52.12%
1633 FALSE POSITIVE 65.10%
1634 CANDIDATE (PC) 73.05%
1635 CANDIDATE (PC) 79.67%
1636 CONFIRMED (CP) 69.82%
1637 CANDIDATE (PC) 73.13%
1638 FALSE POSITIVE 80.98%
1639 FALSE POSITIVE 62.31%
1640 CANDIDATE (PC) 73.66%
1641 CANDIDATE (PC) 48.33%
1642 FALSE POSITIVE 41.37%
1643 CANDIDATE (PC) 51.09%
1644 CANDIDATE (PC) 77.11%
1645 CANDIDATE (PC) 55.57%
1646 FALSE POSITIVE 41.78%
1647 CANDIDATE (PC) 58.65%
1648 CANDIDATE (PC) 53.06%
1649 CANDIDATE (PC) 47.40%
1650 CANDIDATE (PC) 80.09%
1651 CANDIDATE (PC) 76.17%
1652 CANDIDATE (PC) 68.16%
1653 CANDIDATE (PC) 83.05%
1654 CANDIDATE (PC) 55.41%
1655 CONFIRMED (CP) 43.95%
1656 CONFIRMED (CP) 41.92%
1657 FALSE POSITIVE 92.18%
1658 FALSE POSITIVE 97.84%
1659 FALSE POSITIVE 37.57%
1660 CANDIDATE (PC) 76.21%
1661 FALSE POSITIVE 82.19%
1662 FALSE POSITIVE 96.23%
1663 CANDIDATE (PC) 77.03%
1664 CANDIDATE (PC) 72.93%
1665 CONFIRMED (CP) 92.14%
1666 CANDIDATE (PC) 58.66%
1667 FALSE POSITIVE 95.55%
1668 CANDIDATE (PC) 76.62%
1669 FALSE POSITIVE 58.79%
1670 FALSE POSITIVE 39.71%
1671 CANDIDATE (PC) 68.31%
1672 CONFIRMED (CP) 37.12%
1673 CANDIDATE (PC) 54.72%
1674 CANDIDATE (PC) 54.72%
1675 FALSE POSITIVE 62.94%
1676 FALSE POSITIVE 40.75%
1677 CONFIRMED (CP) 64.17%
1678 FALSE POSITIVE 97.12%
1679 CANDIDATE (PC) 43.56%
1680 FALSE POSITIVE 89.50%
1681 CANDIDATE (PC) 40.16%
1682 CANDIDATE (PC) 72.50%
1683 CANDIDATE (PC) 44.46%
1684 CANDIDATE (PC) 72.78%
1685 CANDIDATE (PC) 37.57%
1686 FALSE POSITIVE 76.58%
1687 FALSE POSITIVE 56.23%
1688 CANDIDATE (PC) 46.44%
1689 FALSE POSITIVE 92.87%
1690 CONFIRMED (CP) 41.98%
1691 CANDIDATE (PC) 45.36%
1692 CANDIDATE (PC) 45.05%
1693 CANDIDATE (PC) 44.89%
1694 CANDIDATE (PC) 78.41%
1695 FALSE POSITIVE 87.32%
1696 CONFIRMED (CP) 46.15%
1697 CANDIDATE (PC) 71.98%
1698 CONFIRMED (CP) 90.14%
1699 CANDIDATE (PC) 54.73%
1700 CANDIDATE (PC) 49.41%
1701 CONFIRMED (CP) 91.58%
1702 FALSE POSITIVE 72.42%
1703 CANDIDATE (PC) 77.83%
1704 CANDIDATE (PC) 73.96%
1705 CONFIRMED (CP) 75.78%
1706 FALSE POSITIVE 99.43%
1707 CONFIRMED (CP) 45.57%
1708 CANDIDATE (PC) 75.16%
1709 CANDIDATE (PC) 59.86%
1710 CANDIDATE (PC) 76.87%
1711 FALSE POSITIVE 54.85%
1712 CANDIDATE (PC) 72.16%
1713 FALSE POSITIVE 52.76%
1714 CANDIDATE (PC) 74.57%
1715 CANDIDATE (PC) 71.36%
1716 CONFIRMED (CP) 41.54%
1717 FALSE POSITIVE 98.14%
1718 CANDIDATE (PC) 65.40%
1719 FALSE POSITIVE 40.81%
1720 FALSE POSITIVE 57.11%
1721 CONFIRMED (CP) 72.79%
1722 CONFIRMED (CP) 72.66%
1723 FALSE POSITIVE 63.29%
1724 CONFIRMED (CP) 58.22%
1725 FALSE POSITIVE 65.71%
1726 CANDIDATE (PC) 40.00%
1727 CANDIDATE (PC) 70.32%
1728 CANDIDATE (PC) 63.83%
1729 CONFIRMED (CP) 73.64%
1730 CANDIDATE (PC) 81.06%
1731 CONFIRMED (CP) 90.02%
1732 FALSE POSITIVE 38.59%
1733 CANDIDATE (PC) 66.02%
1734 CONFIRMED (CP) 44.36%
1735 CONFIRMED (CP) 45.96%
1736 FALSE POSITIVE 55.32%
1737 CONFIRMED (CP) 37.78%
1738 FALSE POSITIVE 94.90%
1739 CONFIRMED (CP) 73.47%
1740 CANDIDATE (PC) 42.48%
1741 CANDIDATE (PC) 49.30%
1742 CONFIRMED (CP) 41.32%
1743 CANDIDATE (PC) 72.65%
1744 FALSE POSITIVE 96.15%
1745 FALSE POSITIVE 36.29%
1746 FALSE POSITIVE 45.71%
1747 CANDIDATE (PC) 79.88%
1748 CANDIDATE (PC) 53.07%
1749 CANDIDATE (PC) 54.18%
1750 FALSE POSITIVE 95.51%
1751 CONFIRMED (CP) 75.65%
1752 CANDIDATE (PC) 63.17%
1753 CANDIDATE (PC) 73.53%
1754 CONFIRMED (CP) 73.54%
1755 FALSE POSITIVE 48.04%
1756 CANDIDATE (PC) 77.37%
1757 CANDIDATE (PC) 71.31%
1758 FALSE POSITIVE 85.16%
1759 FALSE POSITIVE 53.26%
1760 CANDIDATE (PC) 54.45%
1761 CANDIDATE (PC) 76.26%
1762 CONFIRMED (CP) 77.06%
1763 CONFIRMED (CP) 80.63%
1764 FALSE POSITIVE 61.86%
1765 CANDIDATE (PC) 44.04%
1766 CANDIDATE (PC) 54.68%
1767 FALSE POSITIVE 42.33%
1768 FALSE POSITIVE 48.41%
1769 FALSE POSITIVE 39.62%
1770 CANDIDATE (PC) 74.83%
1771 CANDIDATE (PC) 68.53%
1772 CANDIDATE (PC) 40.92%
1773 CANDIDATE (PC) 45.13%
1774 FALSE POSITIVE 40.69%
1775 CANDIDATE (PC) 71.98%
1776 FALSE POSITIVE 92.40%
1777 FALSE POSITIVE 97.88%
1778 CANDIDATE (PC) 73.75%
1779 FALSE POSITIVE 43.24%
1780 CONFIRMED (CP) 71.36%
1781 CONFIRMED (CP) 68.59%
1782 CANDIDATE (PC) 75.24%
1783 CONFIRMED (CP) 90.14%
1784 FALSE POSITIVE 55.19%
1785 CANDIDATE (PC) 52.76%
1786 CANDIDATE (PC) 74.99%
1787 FALSE POSITIVE 60.37%
1788 CANDIDATE (PC) 75.58%
1789 CANDIDATE (PC) 75.24%
1790 FALSE POSITIVE 72.13%
1791 CONFIRMED (CP) 90.33%
1792 CONFIRMED (CP) 91.77%
1793 CONFIRMED (CP) 75.75%
1794 FALSE POSITIVE 70.21%
1795 CONFIRMED (CP) 92.10%
1796 CANDIDATE (PC) 46.23%
1797 CONFIRMED (CP) 76.64%
1798 CANDIDATE (PC) 68.89%
1799 CONFIRMED (CP) 69.77%
1800 CONFIRMED (CP) 74.62%
1801 CANDIDATE (PC) 66.74%
1802 CANDIDATE (PC) 73.25%
1803 CONFIRMED (CP) 71.60%
1804 CONFIRMED (CP) 38.68%
1805 FALSE POSITIVE 63.29%
1806 FALSE POSITIVE 98.44%
1807 FALSE POSITIVE 51.70%
1808 CANDIDATE (PC) 77.04%
1809 FALSE POSITIVE 63.06%
1810 CONFIRMED (CP) 39.93%
1811 FALSE POSITIVE 53.86%
1812 CONFIRMED (CP) 89.20%
1813 FALSE POSITIVE 76.83%
1814 CANDIDATE (PC) 71.65%
1815 CONFIRMED (CP) 57.10%
1816 CANDIDATE (PC) 75.41%
1817 FALSE POSITIVE 97.63%
1818 FALSE POSITIVE 94.80%
1819 CANDIDATE (PC) 78.89%
1820 CANDIDATE (PC) 60.19%
1821 CANDIDATE (PC) 60.83%
1822 CONFIRMED (CP) 66.96%
1823 CONFIRMED (CP) 74.91%
1824 CONFIRMED (CP) 75.32%
1825 CANDIDATE (PC) 74.21%
1826 FALSE POSITIVE 73.98%
1827 CANDIDATE (PC) 73.04%
1828 CONFIRMED (CP) 51.15%
1829 FALSE POSITIVE 73.98%
1830 CANDIDATE (PC) 50.36%
1831 CANDIDATE (PC) 76.73%
1832 CANDIDATE (PC) 68.04%
1833 CONFIRMED (CP) 72.58%
1834 CONFIRMED (CP) 44.16%
1835 FALSE POSITIVE 68.23%
1836 CANDIDATE (PC) 54.14%
1837 CANDIDATE (PC) 50.82%
1838 FALSE POSITIVE 85.48%
1839 CANDIDATE (PC) 50.85%
1840 CONFIRMED (CP) 73.68%
1841 CANDIDATE (PC) 74.20%
1842 FALSE POSITIVE 53.47%
1843 CANDIDATE (PC) 43.76%
1844 CANDIDATE (PC) 72.80%
1845 CONFIRMED (CP) 88.80%
1846 CONFIRMED (CP) 71.05%
1847 FALSE POSITIVE 63.44%
1848 CANDIDATE (PC) 47.47%
1849 FALSE POSITIVE 84.55%
1850 CANDIDATE (PC) 74.42%
1851 CANDIDATE (PC) 72.03%
1852 CANDIDATE (PC) 76.76%
1853 CONFIRMED (CP) 73.96%
1854 CANDIDATE (PC) 54.55%
1855 CANDIDATE (PC) 54.73%
1856 CANDIDATE (PC) 49.55%
1857 CANDIDATE (PC) 43.95%
1858 CANDIDATE (PC) 69.67%
1859 CANDIDATE (PC) 71.21%
1860 CANDIDATE (PC) 67.53%
1861 CONFIRMED (CP) 93.14%
1862 FALSE POSITIVE 55.82%
1863 CANDIDATE (PC) 77.00%
1864 CANDIDATE (PC) 74.59%
1865 CONFIRMED (CP) 72.61%
1866 CANDIDATE (PC) 76.79%
1867 CONFIRMED (CP) 74.19%
1868 CONFIRMED (CP) 93.01%
1869 CANDIDATE (PC) 65.03%
1870 CANDIDATE (PC) 51.16%
1871 CANDIDATE (PC) 63.45%
1872 CANDIDATE (PC) 70.45%
1873 FALSE POSITIVE 50.48%
1874 CANDIDATE (PC) 47.12%
1875 CONFIRMED (CP) 74.00%
1876 FALSE POSITIVE 88.23%
1877 CANDIDATE (PC) 76.82%
1878 CONFIRMED (CP) 76.44%
1879 CANDIDATE (PC) 50.16%
1880 CANDIDATE (PC) 79.89%
1881 CANDIDATE (PC) 74.72%
1882 CANDIDATE (PC) 73.27%
1883 CONFIRMED (CP) 43.93%
1884 CANDIDATE (PC) 47.56%
1885 FALSE POSITIVE 98.41%
1886 FALSE POSITIVE 58.42%
1887 FALSE POSITIVE 60.28%
1888 CANDIDATE (PC) 77.12%
1889 CANDIDATE (PC) 72.94%
1890 CANDIDATE (PC) 71.28%
1891 CANDIDATE (PC) 41.23%
1892 CANDIDATE (PC) 79.25%
1893 CANDIDATE (PC) 53.58%
1894 CANDIDATE (PC) 74.90%
1895 FALSE POSITIVE 92.06%
1896 CANDIDATE (PC) 71.76%
1897 CONFIRMED (CP) 67.94%
1898 CANDIDATE (PC) 80.11%
1899 CANDIDATE (PC) 72.31%
1900 CANDIDATE (PC) 65.90%
1901 FALSE POSITIVE 66.77%
1902 CANDIDATE (PC) 66.08%
1903 CANDIDATE (PC) 70.67%
1904 CONFIRMED (CP) 70.62%
1905 CANDIDATE (PC) 77.31%
1906 CANDIDATE (PC) 75.96%
1907 CANDIDATE (PC) 54.71%
1908 CANDIDATE (PC) 43.91%
1909 CANDIDATE (PC) 73.13%
1910 CONFIRMED (CP) 37.07%
1911 FALSE POSITIVE 87.00%
1912 FALSE POSITIVE 91.68%
1913 CANDIDATE (PC) 70.18%
1914 CANDIDATE (PC) 76.88%
1915 CONFIRMED (CP) 81.33%
1916 FALSE POSITIVE 51.98%
1917 FALSE POSITIVE 64.00%
1918 CANDIDATE (PC) 76.99%
1919 CANDIDATE (PC) 77.66%
1920 CANDIDATE (PC) 80.01%
1921 FALSE POSITIVE 55.40%
1922 CONFIRMED (CP) 74.23%
1923 CANDIDATE (PC) 48.82%
1924 CANDIDATE (PC) 75.10%
1925 CANDIDATE (PC) 73.90%
1926 CANDIDATE (PC) 77.30%
1927 CONFIRMED (CP) 52.22%
1928 CANDIDATE (PC) 59.45%
1929 CANDIDATE (PC) 52.38%
1930 FALSE POSITIVE 40.59%
1931 CONFIRMED (CP) 44.95%
1932 CANDIDATE (PC) 38.66%
1933 CANDIDATE (PC) 66.65%
1934 CONFIRMED (CP) 50.91%
1935 CONFIRMED (CP) 75.11%
1936 CANDIDATE (PC) 77.08%
1937 CONFIRMED (CP) 36.76%
1938 CANDIDATE (PC) 77.03%
1939 CANDIDATE (PC) 51.88%
1940 CANDIDATE (PC) 73.98%
1941 FALSE POSITIVE 64.00%
1942 CANDIDATE (PC) 74.30%
1943 CANDIDATE (PC) 47.60%
1944 CANDIDATE (PC) 46.26%
1945 FALSE POSITIVE 97.18%
1946 CANDIDATE (PC) 73.40%
1947 FALSE POSITIVE 89.17%
1948 CANDIDATE (PC) 72.41%
1949 CONFIRMED (CP) 91.41%
1950 CONFIRMED (CP) 41.55%
1951 CANDIDATE (PC) 77.20%
1952 CANDIDATE (PC) 73.73%
1953 CANDIDATE (PC) 63.06%
1954 CONFIRMED (CP) 37.63%
1955 CANDIDATE (PC) 47.60%
1956 CONFIRMED (CP) 71.11%
1957 CONFIRMED (CP) 44.98%
1958 CONFIRMED (CP) 46.44%
1959 CANDIDATE (PC) 62.05%
1960 CANDIDATE (PC) 76.97%
1961 CANDIDATE (PC) 74.59%
1962 FALSE POSITIVE 83.97%
1963 FALSE POSITIVE 97.34%
1964 CANDIDATE (PC) 53.57%
1965 CANDIDATE (PC) 54.71%
1966 CANDIDATE (PC) 60.01%
1967 FALSE POSITIVE 84.78%
1968 FALSE POSITIVE 51.73%
1969 CONFIRMED (CP) 89.00%
1970 FALSE POSITIVE 37.93%
1971 FALSE POSITIVE 41.97%
1972 CANDIDATE (PC) 72.31%
1973 CANDIDATE (PC) 45.73%
1974 CANDIDATE (PC) 78.56%
1975 CANDIDATE (PC) 67.44%
1976 CANDIDATE (PC) 77.27%
1977 CANDIDATE (PC) 72.77%
1978 CANDIDATE (PC) 70.74%
1979 CANDIDATE (PC) 62.01%
1980 CANDIDATE (PC) 61.34%
1981 CANDIDATE (PC) 52.00%
1982 CONFIRMED (CP) 76.70%
1983 CANDIDATE (PC) 50.43%
1984 CANDIDATE (PC) 73.21%
1985 FALSE POSITIVE 97.19%
1986 FALSE POSITIVE 36.33%
1987 CANDIDATE (PC) 72.84%
1988 CANDIDATE (PC) 75.02%
1989 CONFIRMED (CP) 72.06%
1990 CANDIDATE (PC) 47.12%
1991 CANDIDATE (PC) 80.28%
1992 CANDIDATE (PC) 50.10%
1993 CANDIDATE (PC) 71.78%
1994 CONFIRMED (CP) 68.15%
1995 CANDIDATE (PC) 78.35%
1996 CONFIRMED (CP) 50.54%
1997 FALSE POSITIVE 64.07%
1998 CANDIDATE (PC) 43.22%
1999 FALSE POSITIVE 42.58%
2000 CANDIDATE (PC) 72.75%
2001 CANDIDATE (PC) 60.66%
2002 CANDIDATE (PC) 69.39%
2003 CONFIRMED (CP) 51.25%
2004 CONFIRMED (CP) 47.83%
2005 FALSE POSITIVE 63.80%
2006 CONFIRMED (CP) 52.47%
2007 FALSE POSITIVE 71.40%
2008 CONFIRMED (CP) 73.84%
2009 CANDIDATE (PC) 80.04%
2010 CONFIRMED (CP) 47.44%
2011 CANDIDATE (PC) 72.42%
2012 CONFIRMED (CP) 74.55%
2013 CANDIDATE (PC) 47.98%
2014 FALSE POSITIVE 48.67%
2015 CONFIRMED (CP) 93.71%
2016 CANDIDATE (PC) 71.67%
2017 CONFIRMED (CP) 92.78%
2018 CANDIDATE (PC) 44.55%
2019 CANDIDATE (PC) 53.01%
2020 CANDIDATE (PC) 44.05%
2021 FALSE POSITIVE 44.03%
2022 FALSE POSITIVE 41.99%
2023 CANDIDATE (PC) 62.04%
2024 CANDIDATE (PC) 70.84%
2025 CANDIDATE (PC) 77.62%
2026 CANDIDATE (PC) 66.95%
2027 CANDIDATE (PC) 75.62%
2028 FALSE POSITIVE 75.48%
2029 CANDIDATE (PC) 66.72%
2030 CANDIDATE (PC) 75.12%
2031 CONFIRMED (CP) 38.02%
2032 CONFIRMED (CP) 72.90%
2033 CANDIDATE (PC) 43.98%
2034 CANDIDATE (PC) 71.90%
2035 CANDIDATE (PC) 76.24%
2036 CANDIDATE (PC) 71.02%
2037 FALSE POSITIVE 97.63%
2038 FALSE POSITIVE 94.56%
2039 CONFIRMED (CP) 76.33%
2040 CONFIRMED (CP) 90.24%
2041 CANDIDATE (PC) 70.36%
2042 CANDIDATE (PC) 99.94%
2043 CANDIDATE (PC) 77.93%
2044 CANDIDATE (PC) 38.21%
2045 FALSE POSITIVE 81.92%
2046 CANDIDATE (PC) 74.25%
2047 FALSE POSITIVE 59.26%
2048 CANDIDATE (PC) 74.75%
2049 CANDIDATE (PC) 56.03%
2050 FALSE POSITIVE 88.33%
2051 CANDIDATE (PC) 65.82%
2052 FALSE POSITIVE 36.81%
2053 FALSE POSITIVE 81.55%
2054 CANDIDATE (PC) 63.72%
2055 CANDIDATE (PC) 79.66%
2056 CONFIRMED (CP) 41.80%
2057 CANDIDATE (PC) 54.62%
2058 FALSE POSITIVE 41.08%
2059 CONFIRMED (CP) 89.26%
2060 CANDIDATE (PC) 78.28%
2061 FALSE POSITIVE 37.23%
2062 CONFIRMED (CP) 46.22%
2063 CANDIDATE (PC) 69.12%
2064 CANDIDATE (PC) 56.10%
2065 FALSE POSITIVE 59.54%
2066 FALSE POSITIVE 87.50%
2067 CANDIDATE (PC) 74.75%
2068 FALSE POSITIVE 96.46%
2069 CANDIDATE (PC) 80.43%
2070 CANDIDATE (PC) 76.97%
2071 FALSE POSITIVE 41.79%
2072 CANDIDATE (PC) 79.77%
2073 FALSE POSITIVE 97.44%
2074 FALSE POSITIVE 58.05%
2075 CANDIDATE (PC) 67.32%
2076 CANDIDATE (PC) 73.00%
2077 FALSE POSITIVE 48.34%
2078 CANDIDATE (PC) 73.16%
2079 FALSE POSITIVE 53.33%
2080 FALSE POSITIVE 83.50%
2081 CANDIDATE (PC) 49.48%
2082 CANDIDATE (PC) 73.88%
2083 CANDIDATE (PC) 73.73%
2084 CONFIRMED (CP) 72.61%
2085 FALSE POSITIVE 96.48%
2086 CANDIDATE (PC) 48.46%
2087 CONFIRMED (CP) 49.31%
2088 CONFIRMED (CP) 74.58%
2089 FALSE POSITIVE 60.71%
2090 CONFIRMED (CP) 45.45%
2091 CANDIDATE (PC) 72.13%
2092 CANDIDATE (PC) 42.37%
2093 CANDIDATE (PC) 79.39%
2094 CONFIRMED (CP) 45.17%
2095 CANDIDATE (PC) 62.10%
2096 CANDIDATE (PC) 71.43%
2097 CANDIDATE (PC) 47.06%
2098 CONFIRMED (CP) 46.57%
2099 FALSE POSITIVE 62.18%
2100 CANDIDATE (PC) 64.97%
2101 CONFIRMED (CP) 88.92%
2102 FALSE POSITIVE 40.51%
2103 CANDIDATE (PC) 47.06%
2104 CANDIDATE (PC) 74.35%
2105 FALSE POSITIVE 96.59%
2106 CANDIDATE (PC) 74.28%
2107 FALSE POSITIVE 39.58%
2108 CANDIDATE (PC) 81.91%
2109 CANDIDATE (PC) 71.30%
2110 FALSE POSITIVE 97.09%
2111 CANDIDATE (PC) 79.08%
2112 FALSE POSITIVE 63.76%
2113 FALSE POSITIVE 95.84%
2114 CANDIDATE (PC) 62.20%
2115 CONFIRMED (CP) 70.66%
2116 CANDIDATE (PC) 69.16%
2117 CONFIRMED (CP) 77.34%
2118 CANDIDATE (PC) 50.95%
2119 CANDIDATE (PC) 62.64%
2120 CANDIDATE (PC) 49.92%
2121 CANDIDATE (PC) 72.01%
2122 FALSE POSITIVE 55.58%
2123 CANDIDATE (PC) 76.80%
2124 FALSE POSITIVE 47.92%
2125 CONFIRMED (CP) 76.29%
2126 CANDIDATE (PC) 56.05%
2127 FALSE POSITIVE 96.79%
2128 CANDIDATE (PC) 69.24%
2129 FALSE POSITIVE 39.97%
2130 FALSE POSITIVE 57.37%
2131 FALSE POSITIVE 65.13%
2132 CANDIDATE (PC) 73.99%
2133 CANDIDATE (PC) 75.93%
2134 CONFIRMED (CP) 43.38%
2135 CONFIRMED (CP) 92.83%
2136 FALSE POSITIVE 97.30%
2137 CONFIRMED (CP) 75.93%
2138 CONFIRMED (CP) 71.04%
2139 CONFIRMED (CP) 50.72%
2140 CANDIDATE (PC) 70.99%
2141 CANDIDATE (PC) 73.86%
2142 FALSE POSITIVE 63.03%
2143 FALSE POSITIVE 59.21%
2144 CANDIDATE (PC) 45.23%
2145 CANDIDATE (PC) 77.24%
2146 CONFIRMED (CP) 74.31%
2147 FALSE POSITIVE 96.55%
2148 CANDIDATE (PC) 71.71%
2149 FALSE POSITIVE 96.86%
2150 FALSE POSITIVE 37.07%
2151 CONFIRMED (CP) 43.90%
2152 CANDIDATE (PC) 75.26%
2153 CANDIDATE (PC) 75.00%
2154 CANDIDATE (PC) 72.72%
2155 CANDIDATE (PC) 76.86%
