RESULTADOS DEL MODELO: RandomForest
1456 CONFIRMED (CP) 75.75%
1457 CONFIRMED (CP) 55.37%
1458 FALSE POSITIVE 56.98%
1459 CANDIDATE (PC) 56.07%
1460 FALSE POSITIVE 98.75%
1461 FALSE POSITIVE 99.25%
1462 CONFIRMED (CP) 60.22%
1463 CONFIRMED (CP) 91.58%
1464 CONFIRMED (CP) 92.61%
1465 CANDIDATE (PC) 48.53%
1466 CONFIRMED (CP) 55.14%
1467 CANDIDATE (PC) 82.45%
1468 CONFIRMED (CP) 87.17%
1469 CANDIDATE (PC) 82.84%
1470 CANDIDATE (PC) 86.02%
1471 CANDIDATE (PC) 44.21%
1472 CONFIRMED (CP) 87.82%
1473 CANDIDATE (PC) 68.96%
1474 CANDIDATE (PC) 88.68%
1475 CONFIRMED (CP) 86.78%
1476 CONFIRMED (CP) 62.52%
1477 FALSE POSITIVE 54.34%
1478 CANDIDATE (PC) 87.39%
1479 CONFIRMED (CP) 54.10%
1480 CANDIDATE (PC) 73.90%
1481 FALSE POSITIVE 78.05%
1482 CANDIDATE (PC) 96.51%
1483 CONFIRMED (CP) 98.04%
1484 CONFIRMED (CP) 88.38%
1485 CANDIDATE (PC) 84.71%
1486 CONFIRMED (CP) 91.39%
1487 CONFIRMED (CP) 84.41%
1488 CONFIRMED (CP) 89.94%
1489 CANDIDATE (PC) 82.54%
1490 FALSE POSITIVE 51.20%
1491 CANDIDATE (PC) 42.43%
1492 CANDIDATE (PC) 39.95%
1493 FALSE POSITIVE 96.62%
1494 FALSE POSITIVE 99.63%
1495 FALSE POSITIVE 56.29%
1496 CANDIDATE (PC) 90.06%
1497 FALSE POSITIVE 68.15%
1498 CONFIRMED (CP) 45.43%
1499 CANDIDATE (PC) 63.01%
1500 CONFIRMED (CP) 46.55%
1501 FALSE POSITIVE 69.74%
1502 CONFIRMED (CP) 58.97%
1503 CANDIDATE (PC) 91.26%
1504 CANDIDATE (PC) 93.16%
1505 FALSE POSITIVE 63.11%
1506 CANDIDATE (PC) 79.97%
1507 CONFIRMED (CP) 69.32%
1508 CONFIRMED (CP) 95.78%
1509 FALSE POSITIVE 69.98%
1510 CANDIDATE (PC) 87.86%
1511 CANDIDATE (PC) 78.06%
1512 FALSE POSITIVE 50.21%
1513 CANDIDATE (PC) 71.84%
1514 CONFIRMED (CP) 89.94%
1515 CANDIDATE (PC) 49.78%
1516 FALSE POSITIVE 58.19%
1517 CANDIDATE (PC) 87.77%
1518 CONFIRMED (CP) 96.85%
1519 FALSE POSITIVE 67.36%
1520 CANDIDATE (PC) 94.36%
1521 CONFIRMED (CP) 88.41%
1522 CANDIDATE (PC) 83.81%
1523 CONFIRMED (CP) 66.72%
1524 CANDIDATE (PC) 43.22%
1525 FALSE POSITIVE 75.93%
1526 FALSE POSITIVE 56.84%
1527 CONFIRMED (CP) 93.11%
1528 CANDIDATE (PC) 91.82%
1529 CONFIRMED (CP) 96.24%
1530 CANDIDATE (PC) 76.55%
1531 CONFIRMED (CP) 96.81%
1532 CANDIDATE (PC) 60.36%
1533 CANDIDATE (PC) 81.05%
1534 CANDIDATE (PC) 68.34%
1535 FALSE POSITIVE 99.90%
1536 CONFIRMED (CP) 76.28%
1537 FALSE POSITIVE 90.21%
1538 FALSE POSITIVE 61.48%
1539 CONFIRMED (CP) 94.39%
1540 FALSE POSITIVE 74.98%
1541 CANDIDATE (PC) 87.09%
1542 CANDIDATE (PC) 97.09%
1543 CONFIRMED (CP) 88.39%
1544 CANDIDATE (PC) 50.40%
1545 CONFIRMED (CP) 49.04%
1546 CONFIRMED (CP) 72.75%
1547 CONFIRMED (CP) 63.57%
1548 CONFIRMED (CP) 75.18%
1549 CONFIRMED (CP) 55.86%
1550 CANDIDATE (PC) 57.03%
1551 CONFIRMED (CP) 63.52%
1552 CONFIRMED (CP) 91.64%
1553 CANDIDATE (PC) 89.79%
1554 FALSE POSITIVE 99.97%
1555 FALSE POSITIVE 36.88%
1556 CANDIDATE (PC) 95.76%
1557 FALSE POSITIVE 99.63%
1558 CANDIDATE (PC) 78.15%
1559 CONFIRMED (CP) 92.49%
1560 CANDIDATE (PC) 46.28%
1561 CANDIDATE (PC) 54.71%
1562 FALSE POSITIVE 92.21%
1563 CANDIDATE (PC) 38.97%
1564 CONFIRMED (CP) 38.22%
1565 FALSE POSITIVE 77.05%
1566 CONFIRMED (CP) 54.96%
1567 CANDIDATE (PC) 48.76%
1568 CANDIDATE (PC) 95.20%
1569 FALSE POSITIVE 75.50%
1570 CONFIRMED (CP) 95.74%
1571 CONFIRMED (CP) 64.62%
1572 FALSE POSITIVE 53.36%
1573 FALSE POSITIVE 51.75%
1574 CONFIRMED (CP) 48.32%
1575 CONFIRMED (CP) 52.33%
1576 CANDIDATE (PC) 56.17%
1577 CONFIRMED (CP) 79.27%
1578 FALSE POSITIVE 70.13%
1579 FALSE POSITIVE 98.71%
1580 CANDIDATE (PC) 75.71%
1581 FALSE POSITIVE 60.70%
1582 CANDIDATE (PC) 85.36%
1583 CONFIRMED (CP) 41.08%
1584 CANDIDATE (PC) 84.71%
1585 CONFIRMED (CP) 65.30%
1586 FALSE POSITIVE 82.76%
1587 FALSE POSITIVE 64.22%
1588 FALSE POSITIVE 79.71%
1589 CANDIDATE (PC) 43.86%
1590 FALSE POSITIVE 50.97%
1591 FALSE POSITIVE 82.83%
1592 FALSE POSITIVE 99.61%
1593 FALSE POSITIVE 98.43%
1594 CANDIDATE (PC) 54.47%
1595 FALSE POSITIVE 99.31%
1596 FALSE POSITIVE 98.10%
1597 CONFIRMED (CP) 92.44%
1598 FALSE POSITIVE 50.32%
1599 CANDIDATE (PC) 89.83%
1600 CONFIRMED (CP) 59.80%
1601 FALSE POSITIVE 57.61%
1602 CONFIRMED (CP) 50.61%
1603 FALSE POSITIVE 54.12%
1604 CONFIRMED (CP) 98.27%
1605 CANDIDATE (PC) 76.64%
1606 CONFIRMED (CP) 96.64%
1607 FALSE POSITIVE 98.55%
1608 CANDIDATE (PC) 80.58%
1609 CANDIDATE (PC) 70.91%
1610 FALSE POSITIVE 94.18%
1611 CANDIDATE (PC) 86.05%
1612 CANDIDATE (PC) 79.43%
1613 CANDIDATE (PC) 88.74%
1614 FALSE POSITIVE 96.22%
1615 CONFIRMED (CP) 98.02%
1616 FALSE POSITIVE 97.96%
1617 CANDIDATE (PC) 91.30%
1618 FALSE POSITIVE 71.87%
1619 CANDIDATE (PC) 72.64%
1620 FALSE POSITIVE 60.83%
1621 FALSE POSITIVE 49.40%
1622 CANDIDATE (PC) 76.82%
1623 CONFIRMED (CP) 86.71%
1624 CANDIDATE (PC) 59.08%
1625 CONFIRMED (CP) 69.57%
1626 FALSE POSITIVE 92.67%
1627 FALSE POSITIVE 45.19%
1628 FALSE POSITIVE 61.17%
1629 CANDIDATE (PC) 87.15%
1630 CANDIDATE (PC) 89.79%
1631 CANDIDATE (PC) 61.17%
1632 FALSE POSITIVE 47.50%
1633 FALSE POSITIVE 69.67%
1634 CANDIDATE (PC) 89.80%
1635 CANDIDATE (PC) 95.77%
1636 CONFIRMED (CP) 82.79%
1637 CANDIDATE (PC) 54.21%
1638 FALSE POSITIVE 94.31%
1639 CONFIRMED (CP) 56.81%
1640 CANDIDATE (PC) 84.30%
1641 FALSE POSITIVE 70.11%
1642 FALSE POSITIVE 57.22%
1643 FALSE POSITIVE 60.15%
1644 CANDIDATE (PC) 82.19%
1645 CANDIDATE (PC) 57.37%
1646 CONFIRMED (CP) 43.87%
1647 CONFIRMED (CP) 94.37%
1648 FALSE POSITIVE 48.55%
1649 CONFIRMED (CP) 90.92%
1650 CANDIDATE (PC) 83.74%
1651 CANDIDATE (PC) 89.11%
1652 CANDIDATE (PC) 89.31%
1653 CANDIDATE (PC) 94.54%
1654 FALSE POSITIVE 72.41%
1655 CONFIRMED (CP) 69.68%
1656 CANDIDATE (PC) 52.83%
1657 FALSE POSITIVE 81.78%
1658 FALSE POSITIVE 99.63%
1659 FALSE POSITIVE 38.07%
1660 CANDIDATE (PC) 83.12%
1661 FALSE POSITIVE 94.94%
1662 FALSE POSITIVE 72.77%
1663 FALSE POSITIVE 64.18%
1664 CANDIDATE (PC) 84.99%
1665 CONFIRMED (CP) 93.07%
1666 FALSE POSITIVE 65.69%
1667 FALSE POSITIVE 94.66%
1668 CANDIDATE (PC) 82.71%
1669 FALSE POSITIVE 50.57%
1670 CONFIRMED (CP) 55.78%
1671 CANDIDATE (PC) 80.06%
1672 CONFIRMED (CP) 68.79%
1673 FALSE POSITIVE 57.08%
1674 CANDIDATE (PC) 87.21%
1675 FALSE POSITIVE 81.66%
1676 FALSE POSITIVE 47.58%
1677 CONFIRMED (CP) 53.55%
1678 FALSE POSITIVE 99.89%
1679 CONFIRMED (CP) 47.25%
1680 FALSE POSITIVE 81.75%
1681 FALSE POSITIVE 49.49%
1682 CANDIDATE (PC) 83.20%
1683 CONFIRMED (CP) 91.06%
1684 CANDIDATE (PC) 89.64%
1685 CONFIRMED (CP) 63.33%
1686 FALSE POSITIVE 92.76%
1687 FALSE POSITIVE 55.15%
1688 CONFIRMED (CP) 48.03%
1689 FALSE POSITIVE 99.98%
1690 CANDIDATE (PC) 71.07%
1691 CANDIDATE (PC) 85.35%
1692 CONFIRMED (CP) 88.41%
1693 CONFIRMED (CP) 91.77%
1694 CANDIDATE (PC) 90.63%
1695 FALSE POSITIVE 90.92%
1696 CONFIRMED (CP) 61.21%
1697 CANDIDATE (PC) 88.44%
1698 CONFIRMED (CP) 97.76%
1699 FALSE POSITIVE 53.88%
1700 CONFIRMED (CP) 93.82%
1701 CONFIRMED (CP) 83.90%
1702 FALSE POSITIVE 95.92%
1703 CANDIDATE (PC) 78.86%
1704 CANDIDATE (PC) 86.29%
1705 CONFIRMED (CP) 50.40%
1706 FALSE POSITIVE 95.81%
1707 CONFIRMED (CP) 49.15%
1708 CANDIDATE (PC) 87.17%
1709 CANDIDATE (PC) 65.72%
1710 CANDIDATE (PC) 70.25%
1711 FALSE POSITIVE 95.35%
1712 CANDIDATE (PC) 85.02%
1713 FALSE POSITIVE 61.35%
1714 CANDIDATE (PC) 91.44%
1715 CANDIDATE (PC) 77.30%
1716 CONFIRMED (CP) 57.32%
1717 FALSE POSITIVE 95.41%
1718 CANDIDATE (PC) 83.47%
1719 FALSE POSITIVE 56.05%
1720 FALSE POSITIVE 84.14%
1721 CONFIRMED (CP) 87.82%
1722 CONFIRMED (CP) 96.89%
1723 FALSE POSITIVE 59.08%
1724 CONFIRMED (CP) 73.75%
1725 CANDIDATE (PC) 46.78%
1726 CANDIDATE (PC) 42.99%
1727 CANDIDATE (PC) 76.14%
1728 FALSE POSITIVE 57.70%
1729 CONFIRMED (CP) 96.83%
1730 CANDIDATE (PC) 94.75%
1731 CONFIRMED (CP) 90.51%
1732 CONFIRMED (CP) 43.65%
1733 CANDIDATE (PC) 62.92%
1734 FALSE POSITIVE 37.88%
1735 CANDIDATE (PC) 53.58%
1736 CONFIRMED (CP) 39.28%
1737 CONFIRMED (CP) 67.83%
1738 FALSE POSITIVE 99.98%
1739 CONFIRMED (CP) 48.55%
1740 CANDIDATE (PC) 41.93%
1741 CANDIDATE (PC) 76.97%
1742 CONFIRMED (CP) 62.47%
1743 CANDIDATE (PC) 79.23%
1744 FALSE POSITIVE 94.56%
1745 CONFIRMED (CP) 53.58%
1746 FALSE POSITIVE 72.54%
1747 CANDIDATE (PC) 72.90%
1748 CONFIRMED (CP) 88.99%
1749 CANDIDATE (PC) 75.75%
1750 FALSE POSITIVE 98.45%
1751 CONFIRMED (CP) 72.91%
1752 CANDIDATE (PC) 88.10%
1753 CANDIDATE (PC) 86.26%
1754 CONFIRMED (CP) 96.67%
1755 FALSE POSITIVE 56.63%
1756 CANDIDATE (PC) 88.49%
1757 CANDIDATE (PC) 85.20%
1758 FALSE POSITIVE 98.23%
1759 CANDIDATE (PC) 58.03%
1760 CONFIRMED (CP) 93.81%
1761 CANDIDATE (PC) 90.26%
1762 CONFIRMED (CP) 73.16%
1763 CONFIRMED (CP) 46.70%
1764 FALSE POSITIVE 55.33%
1765 CONFIRMED (CP) 90.21%
1766 CONFIRMED (CP) 91.77%
1767 CONFIRMED (CP) 50.31%
1768 CANDIDATE (PC) 52.20%
1769 CANDIDATE (PC) 36.12%
1770 CANDIDATE (PC) 75.70%
1771 CANDIDATE (PC) 87.58%
1772 CONFIRMED (CP) 41.07%
1773 CONFIRMED (CP) 92.43%
1774 FALSE POSITIVE 80.07%
1775 CANDIDATE (PC) 86.02%
1776 FALSE POSITIVE 99.30%
1777 FALSE POSITIVE 88.89%
1778 CANDIDATE (PC) 89.70%
1779 FALSE POSITIVE 86.68%
1780 CANDIDATE (PC) 53.13%
1781 CONFIRMED (CP) 45.90%
1782 CANDIDATE (PC) 90.26%
1783 CONFIRMED (CP) 95.28%
1784 FALSE POSITIVE 84.85%
1785 CANDIDATE (PC) 82.99%
1786 CANDIDATE (PC) 80.07%
1787 FALSE POSITIVE 53.59%
1788 CANDIDATE (PC) 90.45%
1789 CANDIDATE (PC) 88.21%
1790 FALSE POSITIVE 88.67%
1791 CONFIRMED (CP) 97.24%
1792 CONFIRMED (CP) 84.77%
1793 CONFIRMED (CP) 88.03%
1794 FALSE POSITIVE 91.39%
1795 CONFIRMED (CP) 89.30%
1796 CONFIRMED (CP) 49.48%
1797 CONFIRMED (CP) 89.01%
1798 CANDIDATE (PC) 81.91%
1799 CONFIRMED (CP) 95.83%
1800 CANDIDATE (PC) 72.65%
1801 CANDIDATE (PC) 89.39%
1802 CANDIDATE (PC) 89.70%
1803 CONFIRMED (CP) 79.97%
1804 CONFIRMED (CP) 41.80%
1805 FALSE POSITIVE 70.53%
1806 FALSE POSITIVE 91.35%
1807 FALSE POSITIVE 54.85%
1808 FALSE POSITIVE 70.63%
1809 FALSE POSITIVE 60.26%
1810 CONFIRMED (CP) 50.02%
1811 CONFIRMED (CP) 62.99%
1812 CONFIRMED (CP) 91.50%
1813 FALSE POSITIVE 74.17%
1814 CANDIDATE (PC) 63.81%
1815 CONFIRMED (CP) 55.65%
1816 CANDIDATE (PC) 79.02%
1817 FALSE POSITIVE 95.60%
1818 FALSE POSITIVE 92.39%
1819 CANDIDATE (PC) 88.83%
1820 FALSE POSITIVE 51.65%
1821 FALSE POSITIVE 76.68%
1822 CONFIRMED (CP) 58.30%
1823 CONFIRMED (CP) 96.89%
1824 CONFIRMED (CP) 86.13%
1825 CANDIDATE (PC) 89.46%
1826 FALSE POSITIVE 97.22%
1827 CANDIDATE (PC) 79.89%
1828 CONFIRMED (CP) 69.79%
1829 FALSE POSITIVE 84.46%
1830 CANDIDATE (PC) 86.88%
1831 CANDIDATE (PC) 84.80%
1832 CANDIDATE (PC) 88.47%
1833 CONFIRMED (CP) 94.13%
1834 CANDIDATE (PC) 55.26%
1835 FALSE POSITIVE 48.48%
1836 CANDIDATE (PC) 66.31%
1837 CONFIRMED (CP) 86.37%
1838 FALSE POSITIVE 98.37%
1839 CANDIDATE (PC) 64.18%
1840 CONFIRMED (CP) 96.64%
1841 CANDIDATE (PC) 91.66%
1842 FALSE POSITIVE 70.17%
1843 FALSE POSITIVE 86.19%
1844 CANDIDATE (PC) 89.05%
1845 CONFIRMED (CP) 72.35%
1846 CONFIRMED (CP) 74.51%
1847 FALSE POSITIVE 62.45%
1848 CANDIDATE (PC) 86.43%
1849 FALSE POSITIVE 99.10%
1850 CANDIDATE (PC) 89.80%
1851 CANDIDATE (PC) 89.88%
1852 CANDIDATE (PC) 94.77%
1853 CONFIRMED (CP) 97.00%
1854 CONFIRMED (CP) 77.77%
1855 FALSE POSITIVE 44.23%
1856 CANDIDATE (PC) 48.15%
1857 CONFIRMED (CP) 92.12%
1858 CANDIDATE (PC) 68.43%
1859 CANDIDATE (PC) 89.54%
1860 CANDIDATE (PC) 70.06%
1861 CONFIRMED (CP) 97.22%
1862 FALSE POSITIVE 88.45%
1863 FALSE POSITIVE 93.47%
1864 CANDIDATE (PC) 90.02%
1865 CONFIRMED (CP) 62.10%
1866 CANDIDATE (PC) 90.31%
1867 CANDIDATE (PC) 56.25%
1868 CONFIRMED (CP) 76.81%
1869 CANDIDATE (PC) 79.52%
1870 FALSE POSITIVE 51.78%
1871 CANDIDATE (PC) 71.38%
1872 CANDIDATE (PC) 89.52%
1873 CONFIRMED (CP) 58.73%
1874 CONFIRMED (CP) 90.94%
1875 CONFIRMED (CP) 95.63%
1876 FALSE POSITIVE 96.13%
1877 CANDIDATE (PC) 86.78%
1878 CONFIRMED (CP) 80.20%
1879 CONFIRMED (CP) 95.49%
1880 CANDIDATE (PC) 95.16%
1881 CANDIDATE (PC) 91.35%
1882 CANDIDATE (PC) 87.05%
1883 CONFIRMED (CP) 48.80%
1884 CANDIDATE (PC) 53.08%
1885 FALSE POSITIVE 99.97%
1886 FALSE POSITIVE 62.73%
1887 FALSE POSITIVE 66.35%
1888 CANDIDATE (PC) 68.61%
1889 CANDIDATE (PC) 86.20%
1890 CANDIDATE (PC) 90.84%
1891 FALSE POSITIVE 56.97%
1892 CANDIDATE (PC) 92.32%
1893 FALSE POSITIVE 59.52%
1894 CANDIDATE (PC) 84.43%
1895 FALSE POSITIVE 67.75%
1896 CANDIDATE (PC) 78.07%
1897 CONFIRMED (CP) 74.50%
1898 CANDIDATE (PC) 49.32%
1899 CANDIDATE (PC) 88.93%
1900 CANDIDATE (PC) 69.55%
1901 FALSE POSITIVE 86.65%
1902 CANDIDATE (PC) 74.90%
1903 CANDIDATE (PC) 82.37%
1904 CONFIRMED (CP) 53.98%
1905 CANDIDATE (PC) 93.82%
1906 CANDIDATE (PC) 87.86%
1907 CONFIRMED (CP) 94.57%
1908 CONFIRMED (CP) 85.98%
1909 CANDIDATE (PC) 89.04%
1910 CONFIRMED (CP) 39.39%
1911 FALSE POSITIVE 99.77%
1912 FALSE POSITIVE 99.99%
1913 CANDIDATE (PC) 60.25%
1914 CANDIDATE (PC) 87.49%
1915 CONFIRMED (CP) 57.95%
1916 FALSE POSITIVE 61.62%
1917 FALSE POSITIVE 52.15%
1918 FALSE POSITIVE 92.32%
1919 CANDIDATE (PC) 62.89%
1920 CANDIDATE (PC) 81.42%
1921 FALSE POSITIVE 90.06%
1922 CONFIRMED (CP) 61.35%
1923 CANDIDATE (PC) 62.44%
1924 CANDIDATE (PC) 89.31%
1925 CANDIDATE (PC) 86.49%
1926 CANDIDATE (PC) 93.89%
1927 CONFIRMED (CP) 41.81%
1928 CONFIRMED (CP) 60.63%
1929 CANDIDATE (PC) 80.42%
1930 CONFIRMED (CP) 42.29%
1931 CONFIRMED (CP) 53.97%
1932 CONFIRMED (CP) 87.15%
1933 FALSE POSITIVE 53.41%
1934 CANDIDATE (PC) 44.45%
1935 CONFIRMED (CP) 60.55%
1936 FALSE POSITIVE 84.76%
1937 CONFIRMED (CP) 59.85%
1938 CANDIDATE (PC) 52.51%
1939 FALSE POSITIVE 84.50%
1940 CANDIDATE (PC) 89.94%
1941 FALSE POSITIVE 54.06%
1942 CANDIDATE (PC) 79.52%
1943 CANDIDATE (PC) 57.09%
1944 CANDIDATE (PC) 50.05%
1945 FALSE POSITIVE 98.17%
1946 CANDIDATE (PC) 90.16%
1947 FALSE POSITIVE 89.40%
1948 CANDIDATE (PC) 90.09%
1949 CONFIRMED (CP) 85.17%
1950 CANDIDATE (PC) 64.95%
1951 CANDIDATE (PC) 75.48%
1952 CANDIDATE (PC) 89.07%
1953 FALSE POSITIVE 62.85%
1954 CANDIDATE (PC) 42.76%
1955 CANDIDATE (PC) 59.09%
1956 CONFIRMED (CP) 97.49%
1957 CONFIRMED (CP) 49.11%
1958 CANDIDATE (PC) 48.53%
1959 FALSE POSITIVE 56.81%
1960 CANDIDATE (PC) 83.23%
1961 CANDIDATE (PC) 91.88%
1962 FALSE POSITIVE 99.44%
1963 FALSE POSITIVE 97.60%
1964 FALSE POSITIVE 57.93%
1965 CANDIDATE (PC) 88.37%
1966 CANDIDATE (PC) 67.63%
1967 FALSE POSITIVE 93.90%
1968 CANDIDATE (PC) 60.52%
1969 CONFIRMED (CP) 48.40%
1970 FALSE POSITIVE 89.38%
1971 FALSE POSITIVE 40.35%
1972 CANDIDATE (PC) 79.07%
1973 FALSE POSITIVE 55.56%
1974 CANDIDATE (PC) 96.06%
1975 FALSE POSITIVE 68.89%
1976 CANDIDATE (PC) 90.61%
1977 CANDIDATE (PC) 87.50%
1978 CANDIDATE (PC) 80.87%
1979 CANDIDATE (PC) 81.81%
1980 FALSE POSITIVE 56.87%
1981 CONFIRMED (CP) 47.08%
1982 CONFIRMED (CP) 66.36%
1983 CANDIDATE (PC) 61.81%
1984 CONFIRMED (CP) 96.20%
1985 FALSE POSITIVE 99.61%
1986 CONFIRMED (CP) 37.70%
1987 FALSE POSITIVE 64.96%
1988 CANDIDATE (PC) 91.12%
1989 CONFIRMED (CP) 94.19%
1990 CONFIRMED (CP) 93.36%
1991 CANDIDATE (PC) 94.95%
1992 FALSE POSITIVE 54.04%
1993 CANDIDATE (PC) 58.97%
1994 CANDIDATE (PC) 59.37%
1995 FALSE POSITIVE 61.47%
1996 CONFIRMED (CP) 53.77%
1997 FALSE POSITIVE 53.76%
1998 CONFIRMED (CP) 87.37%
1999 FALSE POSITIVE 51.84%
2000 CONFIRMED (CP) 92.94%
2001 FALSE POSITIVE 85.10%
2002 CANDIDATE (PC) 77.88%
2003 CONFIRMED (CP) 53.12%
2004 CONFIRMED (CP) 48.40%
2005 FALSE POSITIVE 77.98%
2006 CONFIRMED (CP) 43.61%
2007 FALSE POSITIVE 93.18%
2008 CONFIRMED (CP) 94.83%
2009 CANDIDATE (PC) 95.64%
2010 CANDIDATE (PC) 46.10%
2011 CANDIDATE (PC) 85.54%
2012 CANDIDATE (PC) 48.71%
2013 CANDIDATE (PC) 58.87%
2014 CANDIDATE (PC) 41.06%
2015 CONFIRMED (CP) 97.62%
2016 CANDIDATE (PC) 90.09%
2017 CONFIRMED (CP) 86.67%
2018 CONFIRMED (CP) 89.47%
2019 CANDIDATE (PC) 65.20%
2020 CONFIRMED (CP) 93.94%
2021 FALSE POSITIVE 47.46%
2022 CONFIRMED (CP) 47.23%
2023 FALSE POSITIVE 50.80%
2024 CANDIDATE (PC) 87.91%
2025 CANDIDATE (PC) 93.17%
2026 CANDIDATE (PC) 66.16%
2027 CANDIDATE (PC) 86.54%
2028 FALSE POSITIVE 38.73%
2029 CANDIDATE (PC) 90.35%
2030 CANDIDATE (PC) 85.47%
2031 CONFIRMED (CP) 67.05%
2032 CONFIRMED (CP) 97.93%
2033 CANDIDATE (PC) 46.06%
2034 CANDIDATE (PC) 71.34%
2035 CANDIDATE (PC) 82.32%
2036 CANDIDATE (PC) 86.68%
2037 FALSE POSITIVE 99.65%
2038 FALSE POSITIVE 88.08%
2039 CONFIRMED (CP) 89.69%
2040 CONFIRMED (CP) 95.61%
2041 CANDIDATE (PC) 53.23%
2042 CANDIDATE (PC) 79.39%
2043 CANDIDATE (PC) 86.34%
2044 CONFIRMED (CP) 51.66%
2045 FALSE POSITIVE 97.15%
2046 CANDIDATE (PC) 88.20%
2047 FALSE POSITIVE 87.50%
2048 CANDIDATE (PC) 82.68%
2049 CANDIDATE (PC) 57.10%
2050 FALSE POSITIVE 95.18%
2051 CANDIDATE (PC) 82.09%
2052 CONFIRMED (CP) 76.00%
2053 FALSE POSITIVE 92.04%
2054 FALSE POSITIVE 63.22%
2055 CANDIDATE (PC) 95.77%
2056 CONFIRMED (CP) 51.28%
2057 CANDIDATE (PC) 65.76%
2058 FALSE POSITIVE 84.28%
2059 CONFIRMED (CP) 97.94%
2060 CANDIDATE (PC) 59.59%
2061 CONFIRMED (CP) 45.25%
2062 CONFIRMED (CP) 64.06%
2063 CANDIDATE (PC) 87.07%
2064 CANDIDATE (PC) 48.81%
2065 CONFIRMED (CP) 40.58%
2066 FALSE POSITIVE 92.59%
2067 CANDIDATE (PC) 82.85%
2068 FALSE POSITIVE 99.42%
2069 CANDIDATE (PC) 78.50%
2070 FALSE POSITIVE 93.87%
2071 FALSE POSITIVE 83.62%
2072 CANDIDATE (PC) 89.86%
2073 FALSE POSITIVE 99.76%
2074 CANDIDATE (PC) 63.16%
2075 CANDIDATE (PC) 78.32%
2076 CANDIDATE (PC) 71.04%
2077 CONFIRMED (CP) 86.06%
2078 CANDIDATE (PC) 80.41%
2079 CONFIRMED (CP) 40.22%
2080 FALSE POSITIVE 52.35%
2081 FALSE POSITIVE 54.16%
2082 CONFIRMED (CP) 92.99%
2083 CANDIDATE (PC) 70.05%
2084 CONFIRMED (CP) 60.83%
2085 FALSE POSITIVE 99.64%
2086 CANDIDATE (PC) 78.40%
2087 CANDIDATE (PC) 43.33%
2088 CONFIRMED (CP) 68.29%
2089 CANDIDATE (PC) 40.80%
2090 CONFIRMED (CP) 44.20%
2091 CANDIDATE (PC) 86.61%
2092 FALSE POSITIVE 53.14%
2093 CANDIDATE (PC) 92.29%
2094 CONFIRMED (CP) 61.34%
2095 CANDIDATE (PC) 66.22%
2096 CONFIRMED (CP) 88.77%
2097 CANDIDATE (PC) 44.68%
2098 CONFIRMED (CP) 38.45%
2099 FALSE POSITIVE 78.52%
2100 CANDIDATE (PC) 80.91%
2101 CONFIRMED (CP) 78.58%
2102 CONFIRMED (CP) 67.42%
2103 CONFIRMED (CP) 92.23%
2104 CANDIDATE (PC) 89.42%
2105 FALSE POSITIVE 99.98%
2106 CANDIDATE (PC) 67.57%
2107 CONFIRMED (CP) 58.24%
2108 CANDIDATE (PC) 94.01%
2109 CANDIDATE (PC) 72.54%
2110 FALSE POSITIVE 99.06%
2111 CANDIDATE (PC) 92.84%
2112 FALSE POSITIVE 62.95%
2113 FALSE POSITIVE 94.28%
2114 FALSE POSITIVE 66.74%
2115 CONFIRMED (CP) 75.12%
2116 CANDIDATE (PC) 70.56%
2117 CONFIRMED (CP) 86.15%
2118 CONFIRMED (CP) 95.39%
2119 CANDIDATE (PC) 79.33%
2120 FALSE POSITIVE 62.51%
2121 CANDIDATE (PC) 76.91%
2122 FALSE POSITIVE 52.73%
2123 CANDIDATE (PC) 93.54%
2124 FALSE POSITIVE 73.85%
2125 CONFIRMED (CP) 85.38%
2126 CONFIRMED (CP) 94.40%
2127 FALSE POSITIVE 99.32%
2128 FALSE POSITIVE 53.35%
2129 CANDIDATE (PC) 39.17%
2130 FALSE POSITIVE 64.08%
2131 FALSE POSITIVE 71.64%
2132 CANDIDATE (PC) 82.92%
2133 CANDIDATE (PC) 90.42%
2134 CANDIDATE (PC) 39.33%
2135 CONFIRMED (CP) 91.67%
2136 FALSE POSITIVE 93.20%
2137 CONFIRMED (CP) 52.63%
2138 CANDIDATE (PC) 56.26%
2139 CONFIRMED (CP) 50.28%
2140 CANDIDATE (PC) 90.79%
2141 CANDIDATE (PC) 89.35%
2142 CONFIRMED (CP) 79.73%
2143 CANDIDATE (PC) 49.98%
2144 FALSE POSITIVE 41.37%
2145 CANDIDATE (PC) 91.34%
2146 FALSE POSITIVE 35.84%
2147 FALSE POSITIVE 75.98%
2148 CANDIDATE (PC) 91.70%
2149 FALSE POSITIVE 99.32%
2150 FALSE POSITIVE 59.69%
2151 CONFIRMED (CP) 60.04%
2152 CANDIDATE (PC) 80.80%
2153 CANDIDATE (PC) 89.33%
2154 CANDIDATE (PC) 65.81%
2155 CANDIDATE (PC) 85.28%
2156 CONFIRMED (CP) 76.06%
2157 CONFIRMED (CP) 63.32%
2158 CANDIDATE (PC) 91.43%
2159 FALSE POSITIVE 89.41%
2160 CANDIDATE (PC) 90.36%
2161 CANDIDATE (PC) 51.71%
2162 CONFIRMED (CP) 48.38%
2163 CONFIRMED (CP) 56.08%
2164 FALSE POSITIVE 51.46%
